scenario,seed,fold,model,selected_threshold,train_seconds_including_inner_cv,predict_seconds,policy,ap,roc_auc,brier,log_loss,f1,precision,recall,mcc,tn,fp,fn,tp,fnr,fpr,rows,positives,unique_scores,recall_at_1pct,precision_at_1pct,lift_at_1pct,recall_at_3pct,precision_at_3pct,lift_at_3pct,recall_at_5pct,precision_at_5pct,lift_at_5pct,recall_at_10pct,precision_at_10pct,lift_at_10pct,recall_at_20pct,precision_at_20pct,lift_at_20pct
rg3,42,2,logistic_balanced,0.46773227746685425,0.014419116999761172,0.00045217400020192144,fixed_0.5,0.048292161881023185,0.4274611398963731,0.20146843102440543,0.6005073819484746,0.03225806451612903,0.017241379310344827,0.25,-0.01402936444846802,272,114,6,2,0.75,0.29533678756476683,394,8,197,0.125,0.25,12.312500000000002,0.125,0.08333333333333333,4.104166666666667,0.125,0.05,2.4625000000000004,0.125,0.025,1.2312500000000002,0.125,0.012658227848101266,0.6234177215189873
rg3,42,2,logistic_balanced,0.46773227746685425,0.014419116999761172,0.00045217400020192144,inner_f1,0.048292161881023185,0.4274611398963731,0.20146843102440543,0.6005073819484746,0.029411764705882353,0.015625,0.25,-0.0230158783799914,260,126,6,2,0.75,0.32642487046632124,394,8,197,0.125,0.25,12.312500000000002,0.125,0.08333333333333333,4.104166666666667,0.125,0.05,2.4625000000000004,0.125,0.025,1.2312500000000002,0.125,0.012658227848101266,0.6234177215189873
rg3,42,2,xgboost,0.01377542968839407,0.03983834900009242,0.0007574969999950554,fixed_0.5,0.07691564195445834,0.3432642487046632,0.01998606650896156,0.10393609414850533,0.0,0.0,0.0,0.0,386,0,8,0,1.0,0.0,394,8,197,0.125,0.25,12.312500000000002,0.125,0.08333333333333333,4.104166666666667,0.125,0.05,2.4625000000000004,0.125,0.025,1.2312500000000002,0.125,0.012658227848101266,0.6234177215189873
rg3,42,2,xgboost,0.01377542968839407,0.03983834900009242,0.0007574969999950554,inner_f1,0.07691564195445834,0.3432642487046632,0.01998606650896156,0.10393609414850533,0.030120481927710843,0.015432098765432098,0.625,-0.0743241949415262,67,319,3,5,0.375,0.8264248704663213,394,8,197,0.125,0.25,12.312500000000002,0.125,0.08333333333333333,4.104166666666667,0.125,0.05,2.4625000000000004,0.125,0.025,1.2312500000000002,0.125,0.012658227848101266,0.6234177215189873
rg3,42,2,xgboost_balanced,0.613593339920044,0.04391519299997526,0.0013952660001450568,fixed_0.5,0.027776082500479575,0.38277202072538863,0.042563668890842205,0.18930225928895364,0.0,0.0,0.0,-0.02072538860103627,378,8,8,0,1.0,0.02072538860103627,394,8,197,0.0,0.0,0.0,0.125,0.08333333333333333,4.104166666666667,0.125,0.05,2.4625000000000004,0.125,0.025,1.2312500000000002,0.25,0.02531645569620253,1.2468354430379747
rg3,42,2,xgboost_balanced,0.613593339920044,0.04391519299997526,0.0013952660001450568,inner_f1,0.027776082500479575,0.38277202072538863,0.042563668890842205,0.18930225928895364,0.0,0.0,0.0,-0.014579714956601745,382,4,8,0,1.0,0.010362694300518135,394,8,197,0.0,0.0,0.0,0.125,0.08333333333333333,4.104166666666667,0.125,0.05,2.4625000000000004,0.125,0.025,1.2312500000000002,0.25,0.02531645569620253,1.2468354430379747
rg3,1729,0,dummy_prior,0.5,0.00021324799990907195,7.594399994559353e-05,fixed_0.5,0.027918781725888325,0.5,0.027242392228606773,0.12995073399332752,0.0,0.0,0.0,0.0,383,0,11,0,1.0,0.0,394,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0379746835443038,1.3601841196777906
rg3,1729,0,dummy_prior,0.5,0.00021324799990907195,7.594399994559353e-05,inner_f1,0.027918781725888325,0.5,0.027242392228606773,0.12995073399332752,0.0,0.0,0.0,0.0,383,0,11,0,1.0,0.0,394,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0379746835443038,1.3601841196777906
rg3,1729,0,logistic,0.0002385905236030938,0.010427107000396063,0.000595513000007486,fixed_0.5,0.028213343253606592,0.5023736055067648,0.027623290077153466,0.13833628708313214,0.0,0.0,0.0,0.0,383,0,11,0,1.0,0.0,394,11,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.012658227848101266,0.4533947065592635
rg3,1729,0,logistic,0.0002385905236030938,0.010427107000396063,0.000595513000007486,inner_f1,0.028213343253606592,0.5023736055067648,0.027623290077153466,0.13833628708313214,0.05432098765432099,0.027918781725888325,1.0,0.0,0,383,0,11,0.0,1.0,394,11,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.012658227848101266,0.4533947065592635
