scenario,model,policy,ap_mean,ap_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,mcc_mean,mcc_std,brier_mean,brier_std,recall_at_5pct_mean,recall_at_5pct_std,recall_at_10pct_mean,recall_at_10pct_std,lift_at_10pct_mean,lift_at_10pct_std
cn7,dummy_prior,fixed_0.5,0.014037321846328554,0.0052505792833443575,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013870933775224442,0.005129081334375529,0.0,0.0,0.0455026455026455,0.07031316049772357,0.4483675312943606,0.6928418741726907
cn7,dummy_prior,inner_f1,0.014037321846328554,0.0052505792833443575,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013870933775224442,0.005129081334375529,0.0,0.0,0.0455026455026455,0.07031316049772357,0.4483675312943606,0.6928418741726907
cn7,logistic,fixed_0.5,0.5427628850350708,0.13870291792834,0.9554954354591789,0.02668194207415603,0.5299823633156966,0.10995556846889103,0.9444444444444444,0.16666666666666666,0.3968253968253968,0.142121119818318,0.5915766330367549,0.08581164485779447,0.009114907501511199,0.004829681020506218,0.6074074074074074,0.14541092587758134,0.7875661375661376,0.1869152930676484,7.754813524325718,1.844965081871008
cn7,logistic,inner_f1,0.5427628850350708,0.13870291792834,0.9554954354591789,0.02668194207415603,0.5006783340116674,0.13071359998082965,0.911111111111111,0.2666666666666667,0.3968253968253968,0.142121119818318,0.567532992847069,0.11632313084464029,0.009114907501511199,0.004829681020506218,0.6074074074074074,0.14541092587758134,0.7875661375661376,0.1869152930676484,7.754813524325718,1.844965081871008
cn7,logistic_balanced,fixed_0.5,0.5483881577974113,0.1352630745895886,0.9514438612175304,0.03167970796204424,0.25406287599450983,0.05045491069778024,0.17434879934879935,0.06425463458181296,0.685978835978836,0.2806254262920277,0.31116778844399684,0.06149602087952466,0.037585823984921767,0.007504951728572068,0.6537037037037037,0.1856192946591508,0.8208994708994708,0.15287205913804056,8.08272680345851,1.5092870814826174
cn7,logistic_balanced,inner_f1,0.5483881577974113,0.1352630745895886,0.9514438612175304,0.03167970796204424,0.2990589657256324,0.2515212827268014,0.3796296296296296,0.3933278405140638,0.2873015873015873,0.24604582653000734,0.31021254176044855,0.2684365678428278,0.037585823984921767,0.007504951728572068,0.6537037037037037,0.1856192946591508,0.8208994708994708,0.15287205913804056,8.08272680345851,1.5092870814826174
cn7,xgboost,fixed_0.5,0.19177455990450562,0.14751996015889823,0.9206970338678678,0.03980413518714926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01332165517895532,0.005013893079871911,0.4939153439153439,0.3198397928202534,0.6283068783068784,0.2800035543092265,6.186514388953413,2.756655530769215
cn7,xgboost,inner_f1,0.19177455990450562,0.14751996015889823,0.9206970338678678,0.03980413518714926,0.16924279027404993,0.10642961482896132,0.10006688963210703,0.06651860355617764,0.6486772486772486,0.29977814716177537,0.22396344281014852,0.13567319415752993,0.01332165517895532,0.005013893079871911,0.4939153439153439,0.3198397928202534,0.6283068783068784,0.2800035543092265,6.186514388953413,2.756655530769215
cn7,xgboost_balanced,fixed_0.5,0.432922629145739,0.23871909586205098,0.9547010201701416,0.042457683590809384,0.28907768157768154,0.14431854360511676,0.2259157509157509,0.12190894297343517,0.4534391534391534,0.2028814228955176,0.29814993510294996,0.15106165867930216,0.02188376546291003,0.009946195937123507,0.7071428571428571,0.2787087573589524,0.91005291005291,0.11476695415794506,8.959220544586397,1.123749362280974
cn7,xgboost_balanced,inner_f1,0.432922629145739,0.23871909586205098,0.9547010201701416,0.042457683590809384,0.20327874305922047,0.16440393514080837,0.13500481000481,0.11733242853464758,0.5722222222222223,0.43525216190668653,0.25215152909411953,0.1967657253478846,0.02188376546291003,0.009946195937123507,0.7071428571428571,0.2787087573589524,0.91005291005291,0.11476695415794506,8.959220544586397,1.123749362280974
