scenario,seed,model,product_group,policy,ap,roc_auc,brier,log_loss,f1,precision,recall,mcc,tn,fp,fn,tp,fnr,fpr,rows,positives,unique_scores,recall_at_1pct,precision_at_1pct,lift_at_1pct,recall_at_3pct,precision_at_3pct,lift_at_3pct,recall_at_5pct,precision_at_5pct,lift_at_5pct,recall_at_10pct,precision_at_10pct,lift_at_10pct,recall_at_20pct,precision_at_20pct,lift_at_20pct
cn7,42,dummy_prior,all,fixed_0.5,0.013064997218934563,0.4602423884126515,0.013847693730523615,0.07407810421504833,0.0,0.0,0.0,0.0,1194,0,17,0,1.0,0.0,1211,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.01639344262295082,1.1677917068466732,0.17647058823529413,0.012345679012345678,0.8794480755265068
cn7,42,dummy_prior,all,inner_f1,0.013064997218934563,0.4602423884126515,0.013847693730523615,0.07407810421504833,0.0,0.0,0.0,0.0,1194,0,17,0,1.0,0.0,1211,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.01639344262295082,1.1677917068466732,0.17647058823529413,0.012345679012345678,0.8794480755265068
cn7,42,logistic,all,fixed_0.5,0.4894618287402786,0.9379495516799685,0.008821191900212362,0.04149480226329268,0.5217391304347826,1.0,0.35294117647058826,0.5913707016836909,1194,0,11,6,0.6470588235294118,0.0,1211,17,608,0.4117647058823529,0.5384615384615384,38.35746606334841,0.5294117647058824,0.24324324324324326,17.3275039745628,0.5294117647058824,0.14754098360655737,10.510125361620057,0.7647058823529411,0.10655737704918032,7.5906460945033745,0.9411764705882353,0.06584362139917696,4.690389736141371
cn7,42,logistic,all,inner_f1,0.4894618287402786,0.9379495516799685,0.008821191900212362,0.04149480226329268,0.5217391304347826,1.0,0.35294117647058826,0.5913707016836909,1194,0,11,6,0.6470588235294118,0.0,1211,17,608,0.4117647058823529,0.5384615384615384,38.35746606334841,0.5294117647058824,0.24324324324324326,17.3275039745628,0.5294117647058824,0.14754098360655737,10.510125361620057,0.7647058823529411,0.10655737704918032,7.5906460945033745,0.9411764705882353,0.06584362139917696,4.690389736141371
cn7,42,logistic_balanced,all,fixed_0.5,0.5044501039003944,0.9424327519952704,0.03857257834341632,0.12765161227471641,0.24096385542168675,0.15151515151515152,0.5882352941176471,0.28055454943247604,1138,56,7,10,0.4117647058823529,0.04690117252931323,1211,17,610,0.47058823529411764,0.6153846153846154,43.83710407239819,0.5294117647058824,0.24324324324324326,17.3275039745628,0.5294117647058824,0.14754098360655737,10.510125361620057,0.7058823529411765,0.09836065573770492,7.006750241080038,0.9411764705882353,0.06584362139917696,4.690389736141371
cn7,42,logistic_balanced,all,inner_f1,0.5044501039003944,0.9424327519952704,0.03857257834341632,0.12765161227471641,0.17391304347826086,0.3333333333333333,0.11764705882352941,0.1915103333202349,1190,4,15,2,0.8823529411764706,0.0033500837520938024,1211,17,610,0.47058823529411764,0.6153846153846154,43.83710407239819,0.5294117647058824,0.24324324324324326,17.3275039745628,0.5294117647058824,0.14754098360655737,10.510125361620057,0.7058823529411765,0.09836065573770492,7.006750241080038,0.9411764705882353,0.06584362139917696,4.690389736141371
cn7,42,xgboost,all,fixed_0.5,0.10797074614939423,0.8979948763424968,0.013234515606969957,0.05947946634961794,0.0,0.0,0.0,0.0,1194,0,17,0,1.0,0.0,1211,17,482,0.11764705882352941,0.15384615384615385,10.959276018099548,0.29411764705882354,0.13513513513513514,9.626391096979333,0.4117647058823529,0.11475409836065574,8.174541947926711,0.5294117647058824,0.07377049180327869,5.2550626808100285,0.7647058823529411,0.053497942386831275,3.810941660614863
cn7,42,xgboost,all,inner_f1,0.10797074614939423,0.8979948763424968,0.013234515606969957,0.05947946634961794,0.1414141414141414,0.08536585365853659,0.4117647058823529,0.16339423168941603,1119,75,10,7,0.5882352941176471,0.06281407035175879,1211,17,482,0.11764705882352941,0.15384615384615385,10.959276018099548,0.29411764705882354,0.13513513513513514,9.626391096979333,0.4117647058823529,0.11475409836065574,8.174541947926711,0.5294117647058824,0.07377049180327869,5.2550626808100285,0.7647058823529411,0.053497942386831275,3.810941660614863
cn7,42,xgboost_balanced,all,fixed_0.5,0.2280609587029374,0.9615479357572174,0.020363659559635146,0.06680565078430567,0.2545454545454545,0.18421052631578946,0.4117647058823529,0.26034533220843226,1163,31,10,7,0.5882352941176471,0.025963149078726967,1211,17,605,0.17647058823529413,0.23076923076923078,16.438914027149323,0.35294117647058826,0.16216216216216217,11.551669316375198,0.7058823529411765,0.19672131147540983,14.013500482160076,0.8823529411764706,0.12295081967213115,8.758437801350048,1.0,0.06995884773662552,4.983539094650205
cn7,42,xgboost_balanced,all,inner_f1,0.2280609587029374,0.9615479357572174,0.020363659559635146,0.06680565078430567,0.24242424242424243,0.25,0.23529411764705882,0.23207889803493226,1182,12,13,4,0.7647058823529411,0.010050251256281407,1211,17,605,0.17647058823529413,0.23076923076923078,16.438914027149323,0.35294117647058826,0.16216216216216217,11.551669316375198,0.7058823529411765,0.19672131147540983,14.013500482160076,0.8823529411764706,0.12295081967213115,8.758437801350048,1.0,0.06995884773662552,4.983539094650205
